Label (Grouping),Arkansas!!Percent!!Margin of Error,"Benton County, Arkansas!!Percent!!Margin of Error","Craighead County, Arkansas!!Percent!!Margin of Error","Faulkner County, Arkansas!!Percent!!Margin of Error","Garland County, Arkansas!!Percent!!Margin of Error","Jefferson County, Arkansas!!Percent!!Margin of Error","Lonoke County, Arkansas!!Percent!!Margin of Error","Pulaski County, Arkansas!!Percent!!Margin of Error","Saline County, Arkansas!!Percent!!Margin of Error","Sebastian County, Arkansas!!Percent!!Margin of Error","Washington County, Arkansas!!Percent!!Margin of Error","White County, Arkansas!!Percent!!Margin of Error"
Households,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    With one or more people in the household 60 years and over,±0.5,±1.4,±2.5,±2.6,±2.6,±3.2,±3.1,±1.4,±2.6,±2.9,±1.5,±2.7
    No people in the household 60 years and over,±0.5,±1.4,±2.5,±2.6,±2.6,±3.2,±3.1,±1.4,±2.6,±2.9,±1.5,±2.7
    HOUSEHOLD TYPE,,,,,,,,,,,,
    Married-couple family,±0.7,±2.6,±4.2,±3.5,±4.0,±5.0,±4.8,±2.3,±4.1,±3.9,±2.8,±5.4
    Other family:,±0.7,±2.2,±4.4,±3.2,±3.0,±4.3,±3.4,±2.0,±3.3,±3.1,±2.3,±4.3
"        Male householder, no spouse present",±0.4,±1.2,±1.8,±1.9,±1.8,±2.5,±3.0,±0.8,±2.4,±1.4,±1.3,±3.0
"        Female householder, no spouse present",±0.5,±1.8,±4.0,±2.5,±2.6,±3.7,±3.2,±1.7,±2.6,±3.1,±2.0,±2.7
    Nonfamily households,±0.8,±2.3,±4.9,±4.4,±4.3,±4.9,±4.7,±2.3,±4.1,±3.5,±2.8,±5.4
    With children under 18 years,±0.7,±2.5,±3.9,±3.0,±3.3,±4.8,±3.8,±2.1,±3.6,±2.8,±2.3,±5.2
        Married-couple family,±0.5,±2.4,±3.1,±2.8,±2.3,±3.0,±3.2,±1.4,±2.8,±2.8,±2.2,±4.4
        Other family:,±0.6,±1.9,±3.9,±2.6,±2.8,±3.7,±2.8,±1.6,±2.3,±2.6,±2.0,±4.0
"            Male householder, no spouse present",±0.3,±1.0,±1.3,±1.5,±1.3,±1.9,±2.4,±0.6,±0.6,±1.0,±1.0,±2.8
"            Female householder, no spouse present",±0.5,±1.5,±3.7,±1.9,±2.3,±3.0,±2.7,±1.4,±2.3,±2.7,±1.8,±2.6
        Nonfamily households,±0.1,±0.6,±0.2,±0.4,±0.7,±0.7,±0.6,±0.1,±0.3,±0.1,±0.8,±0.1
    No children under 18 years,±0.7,±2.5,±3.9,±3.0,±3.3,±4.8,±3.8,±2.1,±3.6,±2.8,±2.3,±5.2
        Married-couple family,±0.7,±2.1,±3.1,±2.8,±3.2,±4.5,±4.0,±2.1,±3.3,±2.5,±2.4,±4.5
        Other family:,±0.3,±1.1,±2.4,±2.0,±2.0,±3.0,±2.4,±1.2,±2.9,±1.9,±1.5,±1.6
"            Male householder, no spouse present",±0.2,±0.7,±1.4,±1.0,±1.4,±2.0,±1.4,±0.6,±2.4,±1.3,±1.0,±0.8
"            Female householder, no spouse present",±0.3,±0.8,±1.9,±1.7,±1.5,±2.6,±2.0,±1.0,±1.6,±1.7,±1.0,±1.4
        Nonfamily households,±0.8,±2.3,±4.9,±4.4,±4.1,±4.9,±4.7,±2.4,±4.1,±3.4,±2.6,±5.5
